Title,Year,Type,Start Time,Midnight Scene,Tags,Notes
When Harry Met Sally,1989,Movie,10:30:27,Harry declares his love; midnight kiss to Auld Lang Syne,"Romance, New Year's",
Forrest Gump,1994,Movie,10:38:55,Forrest and Lt. Dan ring in the New Year together,"Drama, New Year's",
Ghostbusters II,1989,Movie,10:21:00,Statue of Liberty arrives / Happy New Year!,"Comedy, New Year's",
The Great Gatsby,2013,Movie,11:29:57,Gatsby raises his champagne glass,"Romance, Drama",
Wicked,2024,Movie,9:29:41,Defying Gravity climax,Musical,
Rocky,1976,Movie,10:30:42,Rocky reaches the top of the stairs,Inspirational,
The Godfather Part II,1974,Movie,10:22:30,Michael kisses Fredo at the New Year's party,"Drama, Dark, New Year's",Estimated timing
Ocean's Eleven,2001,Movie,10:32:30,Bellagio fountains finale,"Action, Comedy",Estimated timing
V for Vendetta,2005,Movie,9:57:04,Old Bailey explodes to the 1812 Overture,Action,
Fight Club,1999,Movie,10:35:00,Buildings collapse as Pixies play,Dark,
Avengers: Endgame,2019,Movie,9:29:30,Tony Stark snaps,Action,
Avengers: Endgame,2019,Movie,9:41:34,Captain America yells AVENGERS ASSEMBLE!,Action,Timed for assemble at midnight
Avengers: Infinity War,2018,Movie,9:48:54,Thanos snaps,"Action, Dark",
Harry Potter and the Deathly Hallows: Part 2,2011,Movie,10:10:05,Harry vs Voldemort final battle,Fantasy,
Die Hard,1988,Movie,9:56:47,Hans Gruber begins falling from Nakatomi Plaza,Action,
Die Hard,1988,Movie,9:56:27,Hans Gruber hits the ground,Action,Syncs with ball drop
Star Wars: A New Hope,1977,Movie,10:02:42,Death Star explodes,"Sci-Fi, Action",Blu-ray version
Star Wars: A New Hope,1977,Movie,10:02:43,Death Star explodes,"Sci-Fi, Action",Digital version
Star Wars: A New Hope,1977,Movie,10:02:48,Death Star explodes,"Sci-Fi, Action",DVD Special Edition
The Poseidon Adventure,1972,Movie,NEEDS_TIMING,Ship capsizes,"Action, Dark",REVIEW - disaster scene
Strange Days,1995,Movie,NEEDS_TIMING,Y2K chaos and climax,"Sci-Fi, New Year's",REVIEW - needs timing
The Apartment,1960,Movie,10:55:00,Fran returns to Baxter,Romance,Estimated
Trading Places,1983,Movie,NEEDS_TIMING,Duke brothers ruined,Comedy,REVIEW - needs timing
Boogie Nights,1997,Movie,NEEDS_TIMING,Fireworks and chaos,Drama,REVIEW - needs timing
Titanic,1997,Movie,11:40:00,Ship strikes the iceberg,"Romance, Dark",Disaster - optional
Back to the Future,1985,Movie,10:04:00,Lightning strike sends Marty home,Sci-Fi,
Back to the Future,1985,Movie,10:19:07,DeLorean hits 88mph sending Marty back,Sci-Fi,
The Lord of the Rings: Return of the King,2003,Movie,9:15:00,Mount Doom climax,Fantasy,Extended - very early start
The Matrix,1999,Movie,9:50:45,Neo flies / becomes The One,Sci-Fi,
The Matrix,1999,Movie,10:30:00,Neo fully becomes The One,Sci-Fi,Estimated
Jurassic Park,1993,Movie,10:04:00,T-Rex roars as banner falls,Action,
La La Land,2016,Movie,11:06:00,Epilogue fantasy sequence,Romance,
Casablanca,1942,Movie,10:55:00,Rick lets Ilsa go,Romance,Estimated
The Dark Knight,2008,Movie,10:15:00,Joker's final confrontation,"Action, Dark",Estimated
Independence Day,1996,Movie,10:00:00,Alien ships explode,Action,Estimated
Iron Man,2008,Movie,10:02:00,I am Iron Man,Action,
Mean Girls,2004,Movie,10:45:00,Spring Fling resolution,Comedy,Estimated
Clueless,1995,Movie,10:50:00,Cher and Josh get together,Comedy,Estimated
Home Alone,1990,Movie,10:25:00,Kevin reunited with his family,Family,Estimated
The Princess Bride,1987,Movie,10:55:00,As you wish,Romance,Estimated
Elf,2003,Movie,10:40:00,Central Park singing saves Christmas,Comedy,Estimated
The Truman Show,1998,Movie,10:20:00,Truman exits the dome,Drama,
2001: A Space Odyssey,1968,Movie,10:20:00,Star Child reveal,Sci-Fi,Estimated
Sleepless in Seattle,1993,Movie,10:45:00,Annie and Sam meet,Romance,Estimated
You've Got Mail,1998,Movie,10:50:00,Reveal in the park,Romance,Estimated
Four Weddings and a Funeral,1994,Movie,10:55:00,Rain confession,Romance,Estimated
About Time,2013,Movie,10:40:00,Tim learns to live fully,Romance,Estimated
Moonlight,2016,Movie,10:50:00,Final reunion,Drama,Estimated
Call Me By Your Name,2017,Movie,10:35:00,Fireplace monologue,Drama,Estimated
Eternal Sunshine of the Spotless Mind,2004,Movie,10:30:00,Meet me in Montauk,Romance,Estimated
Silver Linings Playbook,2012,Movie,10:45:00,Dance competition,Romance,Estimated
Little Women,2019,Movie,10:50:00,Jo's publishing triumph,Drama,Estimated
Brokeback Mountain,2005,Movie,10:55:00,Ennis at the closet,"Romance, Dark",Tragic ending
The Shawshank Redemption,1994,Movie,10:40:00,Andy and Red reunite,Drama,Estimated
Good Will Hunting,1997,Movie,10:50:00,It's not your fault,Drama,Estimated
Dead Poets Society,1989,Movie,10:45:00,O Captain My Captain,Drama,Estimated
Field of Dreams,1989,Movie,10:55:00,Hey Dad wanna have a catch?,Drama,Estimated
A Beautiful Mind,2001,Movie,10:50:00,Nobel Prize speech,Drama,Estimated
Whiplash,2014,Movie,10:35:00,Final drum solo,Drama,Estimated
Black Swan,2010,Movie,10:40:00,I was perfect,"Drama, Dark",Character death
The Social Network,2010,Movie,10:50:00,Refreshes page,Drama,Estimated
Oppenheimer,2023,Movie,10:30:00,Audience applause fades,Drama,Heavy themes
Mad Max: Fury Road,2015,Movie,10:20:00,Max disappears,Action,Estimated
Inception,2010,Movie,10:48:00,The spinning top,Sci-Fi,Estimated
Interstellar,2014,Movie,10:15:00,Bookshelf revelation,Sci-Fi,Estimated
Arrival,2016,Movie,10:40:00,Circular time reveal,Sci-Fi,Estimated
Dune: Part Two,2024,Movie,10:25:00,Paul ascends,Sci-Fi,Estimated
Rogue One,2016,Movie,10:45:00,Death Star fires,"Sci-Fi, Dark",Tragic ending
The Empire Strikes Back,1980,Movie,10:30:00,I am your father,Sci-Fi,Estimated
Return of the Jedi,1983,Movie,10:55:00,Victory celebration,Sci-Fi,Estimated
The Hunger Games,2012,Movie,10:50:00,Katniss wins,Action,Estimated
Scream,1996,Movie,10:45:00,Final reveal,Horror,
Halloween,1978,Movie,10:55:00,The boogeyman vanishes,Horror,
Get Out,2017,Movie,10:40:00,Escape ending,Horror,Estimated
A Quiet Place,2018,Movie,10:35:00,Regan fights back,Horror,Estimated
The Sixth Sense,1999,Movie,10:50:00,I see dead people payoff,Horror,Estimated
The Shining,1980,Movie,10:55:00,Frozen Jack,Horror,
School of Rock,2003,Movie,10:45:00,Battle of the Bands,Comedy,Estimated
The LEGO Movie,2014,Movie,10:40:00,Everything Is Awesome finale,Comedy,Estimated
The Muppet Movie,1979,Movie,10:50:00,Rainbow Connection reprise,Family,Estimated
The Sandlot,1993,Movie,10:55:00,Fireworks baseball,Family,Estimated
Napoleon Dynamite,2004,Movie,10:40:00,Dance performance,Comedy,Estimated
Superbad,2007,Movie,10:50:00,Grocery store farewell,Comedy,Estimated
Bridesmaids,2011,Movie,10:45:00,Friendship repaired,Comedy,Estimated
Bridesmaids,2011,Movie,10:57:36,I'm ready to party!,Comedy,
Toy Story,1995,Movie,10:50:00,Andy's birthday scare,Family,Estimated
Finding Nemo,2003,Movie,10:45:00,Reunion in the ocean,Family,Estimated
Ratatouille,2007,Movie,10:50:00,Ego tastes ratatouille,Family,Estimated
Wall-E,2008,Movie,10:40:00,Plant preserved,Family,Estimated
Coco,2017,Movie,10:45:00,Miguel sings Remember Me,Family,Estimated
The Incredibles,2004,Movie,10:55:00,Frozone chase,Family,Estimated
Groundhog Day,1993,Movie,10:40:00,Phil breaks the loop,Comedy,Estimated
Airplane!,1980,Movie,10:35:00,Absurd landing chaos,Comedy,Estimated
Anchorman,2004,Movie,10:45:00,News team brawl,Comedy,Estimated
The Big Lebowski,1998,Movie,10:50:00,The Dude abides,Comedy,Estimated
Ferris Bueller's Day Off,1986,Movie,10:55:00,Ferris beats his parents,Comedy,Estimated
Monty Python and the Holy Grail,1975,Movie,10:35:00,Police interrupt ending,Comedy,Estimated
Children of Men,2006,Movie,10:20:00,Ceasefire scene,Sci-Fi,Estimated
Blade Runner 2049,2017,Movie,10:35:00,K confronts truth,Sci-Fi,Estimated
Her,2013,Movie,10:45:00,Theodore says goodbye,Sci-Fi,Estimated
It's a Wonderful Life,1946,Movie,10:50:00,Bells ring for Clarence,Drama,Estimated
Paddington 2,2017,Movie,10:45:00,Prison pop-up book,Family,Estimated
Toy Story 3,2010,Movie,10:35:00,Andy says goodbye,Family,Estimated
Up,2009,Movie,10:10:00,Carl lets go,Family,Early start time
Inside Out,2015,Movie,10:15:00,Riley returns home,Family,Estimated
Love Actually,2003,Movie,10:30:00,Airport reunion montage,Romance,Estimated
The Notebook,2004,Movie,10:50:00,Elderly reveal,Romance,Estimated
Notting Hill,1999,Movie,10:50:00,Anna chooses William,Romance,Estimated
Pride & Prejudice,2005,Movie,10:52:00,Dawn proposal,Romance,Estimated
Before Sunrise,1995,Movie,11:00:00,Jesse & C̩line's final walk,Romance,Estimated
Mamma Mia!,2008,Movie,10:39:20,Musical performance,Musical,
Lord of the Rings: Fellowship of the Ring,2003,Movie,9:51:30,Gandalf's You shall not pass!,Fantasy,
Lord of the Rings: Fellowship of the Ring,2003,Movie,11:41:57,Gandalf's fireworks,Fantasy,
Lord of the Rings: The Two Towers,2003,Movie,9:13:19,So it begins...,Fantasy,Extended - very early start
Kung Fu Panda,2008,Movie,10:40:14,Po says skadoosh,Family,
Kingsman: The Secret Service,2014,Movie,10:10:44,Heads start popping,"Action, Dark",Violent scene
Beetlejuice,1988,Movie,10:41:47,It's showtime!,Comedy,
Lethal Weapon,1987,Movie,11:39:54,I'm too old for this shit,Action,
Practical Magic,1998,Movie,11:12:00,Midnight margaritas with the Owens,Romance,
Alien,1979,Movie,11:03:38,Chestburster scene emerges from Kane,"Sci-Fi, Horror",
Doctor Who: The End of Time,2009,TV,10:15:00,Tenth Doctor regenerates,Sci-Fi,Estimated
Friends: The One with the Routine,1999,TV,10:45:00,Ross & Monica's dance,Comedy,Estimated
Seinfeld: The Strike,1997,TV,10:30:00,Festivus chaos peaks,Comedy,Estimated
The Office: Goodbye Michael,2011,TV,10:50:00,Michael leaves,Comedy,Estimated
Parks & Recreation: Two Parties,2012,TV,10:45:00,Leslie balances work & love,Comedy,Estimated
The Queen's Gambit,2020,TV,11:00:01,Beth Harmon's final chess match,Drama,Episode 7
How I Met Your Mother: The Limo,2006,TV,10:30:00,New Year's chaos escalates,"Comedy, New Year's",Estimated
Brooklyn Nine-Nine: The Box,2017,TV,10:40:00,Holt breaks suspect,Comedy,Estimated
Ted Lasso: Make Rebecca Great Again,2020,TV,10:45:00,Karaoke victory,Comedy,Estimated
The West Wing: Two Cathedrals,2001,TV,10:45:00,President Bartlet confronts God,Drama,Estimated
Breaking Bad: Felina,2013,TV,10:50:00,Walt's end,Drama,Estimated
Better Call Saul: Saul Gone,2022,TV,10:55:00,Jimmy confesses,Drama,Estimated
Succession: All the Bells Say,2021,TV,10:50:00,Boardroom finale,Drama,Estimated
Lost: The End,2010,TV,10:45:00,Church reunion,Drama,Estimated
Game of Thrones: The Winds of Winter,2016,TV,10:30:00,Sept explodes,"Fantasy, Dark",Estimated
Stranger Things: The Gate,2017,TV,10:40:00,Eleven closes the gate,Sci-Fi,Estimated - Season 2 finale
The Bear: Forks,2023,TV,10:35:00,Richie thrives,Drama,Estimated
Schitt's Creek: Happy Ending,2020,TV,10:55:00,Wedding vows,Comedy,Estimated
Futurama: Space Pilot 3000,1999,TV,11:58:08,New Year's countdown syncs with real life,"Comedy, New Year's",Episode 1
Star Trek: Voyager: Collective,2000,TV,11:49:35,Ensign Harry Kim kisses a cow,Sci-Fi,Season 6 Episode 17
